backend,model,base_url,prompt_path,max_tokens,run_index,total_latency_ms,ttft_ms,tpot_ms,itl_mean_ms,itl_p50_ms,itl_p95_ms,prompt_tokens,generated_tokens,chunk_count,tokens_per_second,decode_tokens_per_second,finish_reason
openai_compatible_stream,Qwen/Qwen3.5-2B,http://127.0.0.1:8000,backend_compare/prompts/decode_japanese.txt,128,1,1179.0470740015735,21.31719300086843,9.115983314966181,9.115567480310304,9.236456000508042,9.753084500152909,54,128,128,108.56224727786329,109.69743640910885,length
openai_compatible_stream,Qwen/Qwen3.5-2B,http://127.0.0.1:8000,backend_compare/prompts/decode_japanese.txt,128,2,1178.0671590004204,20.35062899994955,9.115878188980085,9.115540944892885,9.243022999726236,9.642342799634207,54,128,128,108.65254923887944,109.69870146014789,length
openai_compatible_stream,Qwen/Qwen3.5-2B,http://127.0.0.1:8000,backend_compare/prompts/decode_japanese.txt,128,3,1180.8177900002192,20.239556000888115,9.138411291333316,9.138071409439348,9.258685000531841,9.715809199042269,54,128,128,108.39945085852428,109.4282111102156,length
openai_compatible_stream,Qwen/Qwen3.5-2B,http://127.0.0.1:8000,backend_compare/prompts/decode_japanese.txt,512,1,4685.325730999466,20.29105499968864,9.129226371819525,9.12914180821956,9.239089999027783,9.719637499074452,54,512,512,109.27735431764336,109.53830689168159,length
openai_compatible_stream,Qwen/Qwen3.5-2B,http://127.0.0.1:8000,backend_compare/prompts/decode_japanese.txt,512,2,4684.910785001193,20.70571900003415,9.12760286888681,9.127516964777085,9.216462000040337,9.685082500254794,54,512,512,109.2870330933889,109.55779018483511,length
openai_compatible_stream,Qwen/Qwen3.5-2B,http://127.0.0.1:8000,backend_compare/prompts/decode_japanese.txt,512,3,4720.057304000875,20.82229600091523,9.19615461448133,9.196067737767583,9.318993999841041,9.85220250004204,54,512,512,108.47325933225684,108.74110342004083,length
openai_compatible_stream,Qwen/Qwen3.5-2B,http://127.0.0.1:8000,backend_compare/prompts/decode_japanese.txt,2048,1,18839.508658998966,19.754027998715173,9.193822487054348,9.193800354176881,9.215690999553772,9.758898899235646,54,2048,2048,108.70771828870086,108.76868695344962,length
openai_compatible_stream,Qwen/Qwen3.5-2B,http://127.0.0.1:8000,backend_compare/prompts/decode_japanese.txt,2048,2,18790.789790999042,19.877537999491324,9.169962019052052,9.16993707181232,9.164672999759205,9.697743200013065,54,2048,2048,108.98956471648735,109.05170576741116,length
openai_compatible_stream,Qwen/Qwen3.5-2B,http://127.0.0.1:8000,backend_compare/prompts/decode_japanese.txt,2048,3,18993.37304099936,20.594730000084382,9.26857758231523,9.26855500488546,9.245930001270608,9.843870900658658,54,2048,2048,107.82708240285487,107.89142035214066,length
