max_tokens,runs,mean_total_latency_ms,median_total_latency_ms,mean_ttft_ms,median_ttft_ms,mean_tpot_ms,median_tpot_ms,mean_itl_p50_ms,mean_itl_p95_ms,mean_tokens_per_second,median_tokens_per_second,mean_decode_tokens_per_second,mean_generated_tokens,min_generated_tokens
128,3,1179.310674334071,1179.0470740015735,20.635792667235364,20.35062899994955,9.123424265093194,9.115983314966181,9.24605466692204,9.703745499609795,108.53808245842234,108.56224727786329,109.60811632649077,128.0,128.0
512,3,4696.764606667178,4685.325730999466,20.60635666687934,20.70571900003415,9.150994618395888,9.129226371819525,9.258181999636387,9.752307499790428,109.0125489144297,109.27735431764336,109.27906683218585,512.0,512.0
2048,3,18874.557163665788,18839.508658998966,20.075431999430293,19.877537999491324,9.21078736280721,9.193822487054348,9.208764666861194,9.766837666635789,108.50812180268103,108.70771828870086,108.57060435766715,2048.0,2048.0
