implementation,tokens,in_features,out_features,dtype,device,latency_us,effective_bandwidth_gb_s,effective_tflops,max_abs_error,mean_abs_error,relative_l2_error,max_rel_error
torch_matmul,1,2048,2048,bfloat16,cuda,13.552000280469656,619.5985704118508,0.618994084001693,0.0,0.0,0.0,0.0
torch_linear,1,2048,2048,bfloat16,cuda,14.32000007480383,586.3687120207665,0.5857966449846486,0.0,0.0,0.0,0.0
triton_gemv,1,2048,2048,bfloat16,cuda,28.959999792277813,289.9447534609102,0.2896618805307044,9.5367431640625e-07,4.656612873077393e-10,2.0939445732892636e-08,0.004524887073785067
torch_matmul,1,2048,4096,bfloat16,cuda,23.53600040078163,713.354168682051,0.7128320748772092,0.0,0.0,0.0,0.0
torch_linear,1,2048,4096,bfloat16,cuda,20.479999482631683,819.8000207098904,0.8192000206947331,0.001953125,4.76837158203125e-07,3.11324474751018e-05,0.00657894741743803
triton_gemv,1,2048,4096,bfloat16,cuda,35.74400022625923,469.71530588973184,0.4693715279151846,9.5367431640625e-07,2.3283064365386963e-10,1.520139036870205e-08,0.005988024175167084
torch_matmul,1,2048,8192,bfloat16,cuda,77.85599678754807,431.2437498118298,0.4309807000681359,0.0,0.0,0.0,0.0
torch_linear,1,2048,8192,bfloat16,cuda,33.1679992377758,1012.268233585846,1.011650770957088,0.00048828125,1.1944212019443512e-07,7.655123226868454e-06,0.007407407276332378
triton_gemv,1,2048,8192,bfloat16,cuda,49.15200173854828,683.0833091720925,0.6826666425201636,0.00048828125,1.1944212019443512e-07,7.655123226868454e-06,0.007407407276332378
torch_matmul,1,2048,11008,bfloat16,cuda,103.42399775981903,436.21288073557196,0.4359604054825786,0.0,0.0,0.0,0.0
torch_linear,1,2048,11008,bfloat16,cuda,101.3759970664978,445.0252654028823,0.44476768963785307,1.52587890625e-05,1.386154524496419e-09,1.4600014708321396e-07,0.006369426846504211
triton_gemv,1,2048,11008,bfloat16,cuda,110.51199957728386,408.23512534899,0.40799884331536573,1.52587890625e-05,1.386154524496419e-09,1.4600014708321396e-07,0.006369426846504211
torch_matmul,1,4096,2048,bfloat16,cuda,20.54399996995926,817.2461071140323,0.8166479762720361,0.0,0.0,0.0,0.0
torch_linear,1,4096,2048,bfloat16,cuda,20.479999482631683,819.8000207098904,0.8192000206947331,0.0,0.0,0.0,0.0
triton_gemv,1,4096,2048,bfloat16,cuda,45.05600035190582,372.63636072592095,0.3723636334553238,0.0,0.0,0.0,0.0
torch_matmul,1,4096,4096,bfloat16,cuda,79.6320028603077,421.5744272926389,0.4213686808664346,0.0,0.0,0.0,0.0
torch_linear,1,4096,4096,bfloat16,cuda,32.76799991726875,1024.5000025866138,1.0240000025853515,3.814697265625e-06,9.313225746154785e-10,6.090203896746971e-08,0.007751937955617905
triton_gemv,1,4096,4096,bfloat16,cuda,82.91199803352356,404.89696058737377,0.4046993534811818,3.814697265625e-06,9.313225746154785e-10,6.090203896746971e-08,0.007751937955617905
torch_matmul,1,4096,8192,bfloat16,cuda,151.2640044093132,443.81636108442626,0.4436538901773789,0.0,0.0,0.0,0.0
torch_linear,1,4096,8192,bfloat16,cuda,147.45600521564484,455.277761674214,0.45511109501344243,0.0,0.0,0.0,0.0
triton_gemv,1,4096,8192,bfloat16,cuda,160.0640043616295,419.4162220778054,0.419262683497423,1.52587890625e-05,3.725290298461914e-09,2.4103101736727695e-07,0.007407407276332378
torch_matmul,1,4096,11008,bfloat16,cuda,202.7519941329956,444.9166795411543,0.44476768963785307,0.0,0.0,0.0,0.0
torch_linear,1,4096,11008,bfloat16,cuda,194.5600062608719,463.6499850799077,0.4634947219270093,7.450580596923828e-08,6.768332422302237e-12,7.144541069870058e-10,0.03105590119957924
triton_gemv,1,4096,11008,bfloat16,cuda,207.47199654579163,434.79479400532034,0.4346491936327258,7.450580596923828e-08,6.768332422302237e-12,7.144541069870058e-10,0.03105590119957924
