operation,implementation,tokens,hidden,dtype,device,latency_us,effective_bandwidth_gb_s,max_abs_error,max_rel_error
residual_rmsnorm,cuda_residual_fused,32,8192,float16,cuda,7.168000098317862,438.85713683768205,0.001953125,0.000654450268484652
residual_rmsnorm,triton_residual_fused,32,8192,float16,cuda,14.336000196635723,219.42856841884102,0.0009765625,0.000933706818614155
residual_rmsnorm,pytorch_residual_unfused,128,2048,float16,cuda,38.91199827194214,94.3157936621903,0.0,0.0
residual_rmsnorm,cuda_residual_unfused,128,2048,float16,cuda,10.111999697983265,362.93671970064906,0.00390625,0.0008787346305325627
residual_rmsnorm,cuda_residual_fused,128,2048,float16,cuda,7.168000098317862,438.85713683768205,0.00390625,0.0008787346305325627
residual_rmsnorm,triton_residual_fused,128,2048,float16,cuda,14.336000196635723,219.42856841884102,0.001953125,0.0008787346305325627
residual_rmsnorm,pytorch_residual_unfused,128,3072,float16,cuda,39.56799954175949,139.12818600268326,0.0,0.0
residual_rmsnorm,cuda_residual_unfused,128,3072,float16,cuda,10.03200002014637,548.7464103812551,0.001953125,0.0009345794678665698
residual_rmsnorm,cuda_residual_fused,128,3072,float16,cuda,7.168000098317862,658.2857052565231,0.001953125,0.0009345794678665698
residual_rmsnorm,triton_residual_fused,128,3072,float16,cuda,14.431999996304512,326.95343689081574,0.001953125,0.0009345794678665698
residual_rmsnorm,pytorch_residual_unfused,128,4096,float16,cuda,41.98399931192398,174.82927115796087,0.0,0.0
residual_rmsnorm,cuda_residual_unfused,128,4096,float16,cuda,10.080000385642052,728.1777499190515,0.001953125,0.0009025270701386034
residual_rmsnorm,cuda_residual_fused,128,4096,float16,cuda,7.168000098317862,877.7142736753641,0.001953125,0.0009025270701386034
residual_rmsnorm,triton_residual_fused,128,4096,float16,cuda,14.096000231802464,446.32916405645574,0.001953125,0.0008802816737443209
residual_rmsnorm,pytorch_residual_unfused,128,8192,float16,cuda,57.071998715400696,257.22007867999605,0.0,0.0
residual_rmsnorm,cuda_residual_unfused,128,8192,float16,cuda,12.28800043463707,1194.6666244102864,0.001953125,0.0015873016091063619
residual_rmsnorm,cuda_residual_fused,128,8192,float16,cuda,10.239999741315842,1228.8000310420998,0.001953125,0.0015873016091063619
residual_rmsnorm,triton_residual_fused,128,8192,float16,cuda,15.359999611973763,819.2000206947333,0.001953125,0.0015873016091063619
residual_rmsnorm,pytorch_residual_unfused,512,2048,float16,cuda,56.65599927306175,259.10872967304516,0.0,0.0
residual_rmsnorm,cuda_residual_unfused,512,2048,float16,cuda,12.28800043463707,1194.6666244102864,0.00390625,0.0009487665956839919
residual_rmsnorm,cuda_residual_fused,512,2048,float16,cuda,9.216000325977802,1365.3332850403274,0.00390625,0.0009487665956839919
residual_rmsnorm,triton_residual_fused,512,2048,float16,cuda,15.072000212967396,834.8534913882315,0.00390625,0.0009049773798324168
residual_rmsnorm,pytorch_residual_unfused,512,3072,float16,cuda,66.51199981570244,331.06952220674924,0.0,0.0
residual_rmsnorm,cuda_residual_unfused,512,3072,float16,cuda,14.22400027513504,1548.0944582441628,0.001953125,0.000965250947047025
residual_rmsnorm,cuda_residual_fused,512,3072,float16,cuda,11.19999960064888,1685.2114886599195,0.001953125,0.000965250947047025
residual_rmsnorm,triton_residual_fused,512,3072,float16,cuda,16.03199914097786,1177.2934762550624,0.001953125,0.000965250947047025
residual_rmsnorm,pytorch_residual_unfused,512,4096,float16,cuda,81.91999793052673,358.4000090539458,0.0,0.0
residual_rmsnorm,cuda_residual_unfused,512,4096,float16,cuda,16.575999557971954,1771.2432904765449,0.001953125,0.0009737098589539528
residual_rmsnorm,cuda_residual_fused,512,4096,float16,cuda,13.376000337302685,1881.416220498898,0.001953125,0.0009737098589539528
residual_rmsnorm,triton_residual_fused,512,4096,float16,cuda,18.432000651955605,1365.3332850403274,0.001953125,0.0009737098589539528
residual_rmsnorm,pytorch_residual_unfused,512,8192,float16,cuda,248.6559972167015,236.15057210474524,0.0,0.0
residual_rmsnorm,cuda_residual_unfused,512,8192,float16,cuda,28.975999914109707,2026.5135344442936,0.00390625,0.0009756097570061684
residual_rmsnorm,cuda_residual_fused,512,8192,float16,cuda,26.623999699950218,1890.4615597668487,0.00390625,0.0009756097570061684
residual_rmsnorm,triton_residual_fused,512,8192,float16,cuda,24.57600086927414,2047.999927560491,0.00390625,0.0009756097570061684
