previous_name,target_name,next_name,instances,total_target_time_ns,share_of_target_pct,avg_target_ns
"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<int>, std::array<char *, (unsigned long)3>>(int, T2, T3)",void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::oper...,"void at::native::<unnamed>::indexSelectSmallIndex<c10::BFloat16, long, unsigned int, (int)2, (int)2, (int)-2>(at::cuda::detail::TensorInf...",508,534374,0.828,1051.9
"void at::native::vectorized_elementwise_kernel<(int)2, at::native::CUDAFunctor_add<long>, std::array<char *, (unsigned long)3>>(int, T2, T3)",[CUDA memcpy Device-to-Device],"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<int>, std::array<char *, (unsigned long)3>>(int, T2, T3)",512,438212,0.679,855.9
"void at::native::<unnamed>::indexSelectSmallIndex<c10::BFloat16, long, unsigned int, (int)2, (int)2, (int)-2>(at::cuda::detail::TensorInf...",[CUDA memcpy Device-to-Device],_gemma_rmsnorm_kernel,508,426729,0.661,840.0
"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<int>, std::array<char *, (unsigned long)3>>(int, T2, T3)",[CUDA memcpy Device-to-Device],"void at::native::unrolled_elementwise_kernel<at::native::FillFunctor<int>, std::array<char *, (unsigned long)1>, (int)4, TrivialOffsetCal...",512,425958,0.660,831.9
_compute_slot_mapping_kernel,[CUDA memcpy Device-to-Device],[CUDA memcpy Host-to-Device],508,423112,0.656,832.9
"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::ArgMaxOps<float>, unsigned int, long, (int)4, (i...",void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::oper...,[CUDA memcpy Host-to-Device],392,418337,0.648,1067.2
[CUDA memcpy Host-to-Device],[CUDA memcpy Host-to-Device],"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<int>, std::array<char *, (unsigned long)1>>(int, T2, T3)",508,325349,0.504,640.5
[CUDA memcpy Device-to-Device],[CUDA memcpy Host-to-Device],"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::Ten...",508,323620,0.502,637.0
[CUDA memcpy Host-to-Device],[CUDA memcpy Host-to-Device],"void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void at::native::index_kernel_impl<at::nati...",512,323561,0.501,632.0
[CUDA memcpy Host-to-Device],[CUDA memcpy Device-to-Host],[CUDA memcpy Host-to-Device],392,296964,0.460,757.6
[CUDA memcpy Device-to-Host],[CUDA memcpy Host-to-Device],[CUDA memcpy Host-to-Device],504,277155,0.430,549.9
"void flash::flash_fwd_splitkv_kernel<Flash_fwd_kernel_traits<(int)256, (int)64, (int)64, (int)4, (bool)0, (bool)0, cutlass::bfloat16_t, F...",[CUDA memcpy Device-to-Device],"void at::native::vectorized_elementwise_kernel<(int)4, at::native::sigmoid_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]...",240,211617,0.328,881.7
"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<int>, std::array<char *, (unsigned long)1>>(int, T2, T3)",[CUDA memcpy Host-to-Device],[CUDA memcpy Host-to-Device],512,142114,0.220,277.6
[CUDA memcpy Device-to-Device],"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::Ten...",layer_norm_fwd_kernel,72,137731,0.213,1912.9
"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::ArgMaxOps<float>, unsigned int, long, (int)4, (i...",void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::oper...,[CUDA memcpy Device-to-Host],120,127713,0.198,1064.3
"void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, __nv_bfloat16, __nv_bfloat16, float, __nv_bfloat16, (bool)0, __nv_bfloat16, __n...","void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::Ten...","void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::Ten...",72,124512,0.193,1729.3
"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::Ten...","void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::Ten...","void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<c10::BFloat16>, std::array<char *, (unsigned long)1>>(int,...",72,114786,0.178,1594.2
ampere_bf16_s16816gemm_bf16_64x64_ldg8_f2f_stages_64x5_tn,[CUDA memcpy Device-to-Device],_gemma_fused_add_rmsnorm_kernel,96,101474,0.157,1057.0
_fused_post_conv_kernel,void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::oper...,"void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void at::native::index_kernel_impl<at::nati...",72,92705,0.144,1287.6
[CUDA memcpy Host-to-Device],[CUDA memcpy Host-to-Device],[CUDA memcpy Device-to-Host],284,91874,0.142,323.5
void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::oper...,[CUDA memcpy Device-to-Host],[CUDA memcpy Host-to-Device],119,88704,0.137,745.4
chunk_fwd_kernel_o,void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::oper...,"void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void at::native::index_put_kernel_impl<at::...",72,85248,0.132,1184.0
void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::oper...,[CUDA memcpy Host-to-Device],[CUDA memcpy Host-to-Device],284,79521,0.123,280.0
"void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void at::native::index_put_kernel_impl<at::...",[CUDA memcpy Device-to-Device],"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::Ten...",72,77219,0.120,1072.5
