target_start_ns,target_duration_ns,target_stream,target_family,target_name,offset,context_start_ns,context_duration_ns,context_stream,context_family,context_name
36281659942,1376,7,copy / cast,void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::oper...,1,36281670503,320,7,copy / cast,[CUDA memcpy Host-to-Device]
36281659942,1376,7,copy / cast,void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::oper...,2,36281737927,928,7,elementwise,"void at::native::unrolled_elementwise_kernel<at::native::CUDAFunctor_add<int>, std::array<char *, (unsigned long)3>, (int)4, TrivialOffse..."
36281670503,320,7,copy / cast,[CUDA memcpy Host-to-Device],-2,36281650790,288,7,copy / cast,[CUDA memcpy Host-to-Device]
36281670503,320,7,copy / cast,[CUDA memcpy Host-to-Device],-1,36281659942,1376,7,copy / cast,void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::oper...
36281670503,320,7,copy / cast,[CUDA memcpy Host-to-Device],1,36281737927,928,7,elementwise,"void at::native::unrolled_elementwise_kernel<at::native::CUDAFunctor_add<int>, std::array<char *, (unsigned long)3>, (int)4, TrivialOffse..."
36281670503,320,7,copy / cast,[CUDA memcpy Host-to-Device],2,36281746535,1024,7,elementwise,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<int>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
36281787272,320,7,copy / cast,[CUDA memcpy Host-to-Device],-2,36281737927,928,7,elementwise,"void at::native::unrolled_elementwise_kernel<at::native::CUDAFunctor_add<int>, std::array<char *, (unsigned long)3>, (int)4, TrivialOffse..."
36281787272,320,7,copy / cast,[CUDA memcpy Host-to-Device],-1,36281746535,1024,7,elementwise,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<int>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
36281787272,320,7,copy / cast,[CUDA memcpy Host-to-Device],1,36281802056,320,7,copy / cast,[CUDA memcpy Host-to-Device]
36281787272,320,7,copy / cast,[CUDA memcpy Host-to-Device],2,36281814600,1152,7,elementwise,"void at::native::vectorized_elementwise_kernel<(int)4, void at::native::compare_scalar_kernel<int>(at::TensorIteratorBase &, at::native::..."
36281802056,320,7,copy / cast,[CUDA memcpy Host-to-Device],-2,36281746535,1024,7,elementwise,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<int>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
36281802056,320,7,copy / cast,[CUDA memcpy Host-to-Device],-1,36281787272,320,7,copy / cast,[CUDA memcpy Host-to-Device]
36281802056,320,7,copy / cast,[CUDA memcpy Host-to-Device],1,36281814600,1152,7,elementwise,"void at::native::vectorized_elementwise_kernel<(int)4, void at::native::compare_scalar_kernel<int>(at::TensorIteratorBase &, at::native::..."
